"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006936","muscle contraction","176/4952","340/16325",0.517647058823529,1.70650004751497,8.68683205176665,7.06773171191244e-17,4.34100081745662e-13,3.68786801009999e-13,"HTR1D/GPD1L/COMP/SNTB1/CCDC78/MYL9/MYLK/OXTR/CNN1/SYNM/MYH11/TNNI3/ATP1A2/GNAO1/HOMER1/KCNA5/LMOD1/SCNN1B/PPP1R12B/TPM2/TACR2/SCN9A/EDN3/ATP2B4/P2RX1/ANK2/NEDD4L/SRI/P2RX4/TPM1/SCN11A/GSN/SLC9A1/SSTR2/SCN7A/SMTN/DSC2/LARGE1/EDN2/MYOCD/SCN4B/SCN2B/PLN/CRYAB/TNNT1/TMOD1/CHGA/UCN/ITGA2/NUP155/RCSD1/CASQ2/KCNMA1/SLMAP/STC1/CAV1/FLNA/CTNNA3/P2RX2/CACNB1/CASQ1/NMU/ADRB2/PDE5A/BDKRB2/DES/RYR3/DMD/CACNA1H/ATP2B1/GPER1/EDNRA/SMAD7/CKMT2/EDNRB/APBB1/GDNF/SGCA/CALD1/RGS2/MIR145/SSPN/CALCA/LTB4R/PIK3CG/HTR7/ATP8A2/SPHK1/NOS1/SCN3A/DMPK/ARHGAP42/ADRA1A/PPP1R13L/CHRNA1/KIT/MAP2K6/CLCN1/DRD2/TRPM4/SLC8A1/SULF1/CACNA2D1/CACNA1D/TRPV4/CLIC2/AKAP9/ADRA2A/HRC/SLC8A3/MYH4/GSTM2/CHRNA3/SCN3B/GATA4/SCN1B/TNNT2/TBX20/TIFAB/ACTA2/ADA/CHRNB4/PDE4D/MYBPC3/KCNA1/ATP2A1/NMUR2/ADRA1B/CHRM2/GJC1/SCN4A/SPX/TNNT3/KCNIP1/NMUR1/MYH7B/CACNB2/ADRA2C/TACR1/PRKG1/DTNA/FXYD1/TMOD2/CACNA1C/CHRND/SLC6A8/MYL11/SMPX/CHRNG/FKBP1B/STRIT1/FGF13/GUCY1A1/KCND3/CD38/MYH6/MYBPH/KCNB2/TNNC2/JSRP1/KCNE5/PTGS2/TCAP/OXT/STAC/CACNG1/MYL2/MYOT/MYH2/TRIM63/GLRA1/PROK2/CSRP3/TTN/TRDN/NKX2-5",176
"GO:0003012","muscle system process","210/4952","429/16325",0.48951048951049,1.61374368765322,8.50037037343257,2.27736370503127e-16,6.99378393815102e-13,5.94152204517894e-13,"GTF2IRD1/HTR1D/GPD1L/COMP/SNTB1/CCDC78/EZH2/MYL9/MYLK/OXTR/CNN1/PDE9A/ASB2/SYNM/MYH11/P2RY1/TNNI3/ATP1A2/GNAO1/ACACB/HOMER1/KCNA5/LMOD1/SCNN1B/PPP1R12B/TPM2/TACR2/SCN9A/EDN3/ATP2B4/P2RX1/ANK2/NEDD4L/SRI/P2RX4/TPM1/TRIM72/HAND2/SCN11A/GSN/PI16/HMOX1/MIR17HG/SLC9A1/SSTR2/SCN7A/SMTN/DSC2/LARGE1/EDN2/MYOCD/SCN4B/SCN2B/PLN/FBXO32/CRYAB/TNNT1/TMOD1/CHGA/UCN/ITGA2/NUP155/RCSD1/CASQ2/KCNMA1/SLMAP/STC1/AKAP6/CAV1/FLNA/CTNNA3/P2RX2/CACNB1/CASQ1/NMU/ADRB2/PDE5A/BDKRB2/DES/RYR3/DMD/CACNA1H/AGT/ATP2B1/GPER1/EDNRA/SORBS2/SMAD7/CKMT2/EDNRB/APBB1/GDNF/SGCA/CALD1/RGS2/MIR145/SSPN/CALCA/LTB4R/PIK3CG/HTR7/ATP8A2/MYOC/SPHK1/NOS1/SCN3A/DMPK/ARHGAP42/ADRA1A/PPP1R13L/MEIS1/CHRNA1/KIT/MAP2K6/CLCN1/DRD2/TRPM4/SLC8A1/SULF1/CACNA2D1/CACNA1D/IL6ST/TRPV4/CLIC2/AKAP9/ADRA2A/HRC/SLC8A3/MYH4/GSTM2/CHRNA3/SCN3B/GATA4/SCN1B/TNNT2/TBX20/TIFAB/ACTA2/MIR25/ADA/CHRNB4/PDE4D/MYBPC3/KCNA1/ATP2A1/NMUR2/ADRA1B/CHRM2/ABCC8/GJC1/SCN4A/COL14A1/SPX/TNNT3/KCNIP1/MSTN/NMUR1/MYH7B/CACNB2/ADRA2C/IGF1/TACR1/PRKG1/IL1B/DTNA/FXYD1/NR4A3/TMOD2/CACNA1C/TBCE/CHRND/SCO2/SLC6A8/MYL11/SLN/SMPX/TIAM1/KLF15/CHRNG/FKBP1B/STRIT1/FGF13/GUCY1A1/KCND3/CD38/MYH6/MYBPH/KCNB2/TNNC2/JSRP1/LEP/KCNE5/PTGS2/MYMK/TCAP/OXT/STAC/CACNG1/MLIP/MYL2/MYOT/MYH2/TRIM63/GLRA1/GATA5/PROK2/CSRP3/TTN/TRDN/NKX2-5",210
"GO:0042391","regulation of membrane potential","209/4952","439/16325",0.476082004555809,1.56947470201405,7.98115065014595,1.08930495991885e-14,2.2301703546072e-11,1.89462620572553e-11,"GRIN2D/GPD1L/SLC4A11/MET/GNA11/FHL1/POPDC2/GABRD/SLC4A4/GRIN2B/ANK3/GRIK3/ATP1A2/PINK1/PYCR1/KCNA5/PMAIP1/SCN9A/P2RX1/ANK2/SLC26A3/CNGB1/NEDD4L/SRI/POPDC1/P2RX4/STX1A/SCN11A/SLC9A1/SCN7A/KCNH8/DSC2/KCNB1/PTK2B/SCN4B/SCN2B/PLN/CDKN2A/ATP1B2/CCN6/GRIK5/NUP155/GABRE/GRIN3A/CASQ2/CLCN2/KCNMA1/CNR1/SLMAP/ASIC1/AKAP6/CAV1/FLNA/NRXN1/CTNNA3/P2RX2/PHOX2B/TMEM108/MPP2/BEST2/ADRB2/DMD/CACNA1H/AGT/NPAS4/GPER1/CD36/SMAD7/GRIA4/BID/B2M/SLC8A2/SLC29A1/IGSF11/CASR/MEF2C/RELN/NLGN1/KCNK3/KCNN4/NLGN4X/MYOC/NOS1/SCN3A/BCL2/DMPK/DCN/PID1/ADRA1A/KCNA3/CHRNA5/CHRNA1/RIMS4/KCNH4/KCNK9/CLCN1/GPR88/DRD2/MAPT/TRPM4/SLC8A1/TMEM25/KCNJ11/HTR3E/CACNA2D1/CNR2/CELF4/CACNA1D/SPART/NLGN3/AKAP9/SLC8A3/INSYN1/CHRNA3/CUX2/KCNA6/KCNG3/SCN3B/HCRT/SCN1B/KCNK5/SLC4A8/PRKN/IFI6/ALB/SNCA/SLC25A27/ABCB5/HTR3A/CHRNB4/KCNA1/SLC24A4/RIMS3/ABCC8/GJC1/SCN4A/HTR3B/KCNV2/SYNE1/NDP/KCNIP1/HCN1/GRIN2A/KCNS3/CACNB2/GRIN3B/GRIA3/GRIA1/KCNH1/TACR1/CNTNAP1/CHRNA6/KCNK2/FXYD1/TBX5/KCNS1/AKAP7/GABRB1/KCNS2/MLLT11/CACNA1C/TREM2/CHRND/STOX1/OPRD1/KCTD16/PIP5KL1/KCNA10/CHRNG/FKBP1B/GABRG2/FGF13/GRIK2/NRCAM/SEZ6/KCNG1/KCND3/WNT7A/TBX18/UCN3/POPDC3/GABRG1/KCNB2/ADRB1/FZD9/TAFA4/SLC34A1/LTF/HTR3C/KCNE5/GRIA2/KCNA2/CBLN1/GABRA3/KCNA4/GRIK1/CLDN19/CHRFAM7A/GABRR1/KCNA7/NTSR1/GABRA4/GLRA1/TRPC5/NTSR2/TRDN/GRM1/HCN2/GRM5",209
"GO:0006959","humoral immune response","139/4952","263/16325",0.52851711026616,1.74233477889642,8.00836691881549,1.52934969094068e-14,2.34831645043941e-11,1.99499642578761e-11,"MMP7/KLK7/ELANE/CXCL3/EXO1/CXCL5/CCL23/CXCL12/CXCL1/LEAP2/LGALS4/PPBP/PGC/KRT6A/CXCL8/JCHAIN/C7/FGB/VIP/SLC11A1/FGA/CXCL2/PRSS2/SPRR2A/CLU/CCL28/EVPL/ZP3/C2/TREM1/REG3A/IGHA2/CD46/CTSG/NPY/MASP1/LGALS3/SPNS2/F2/A2M/CCR2/B2M/CCL15/MEF2C/CCL14/CFD/CCL8/CALCA/WFDC10A/BCL2/CCL13/WFDC10B/CXCL6/FCMR/CXCL11/IGHA1/IGKV3-20/NOD2/H2BC10/CCL26/FCER2/SPON2/EBI3/PGLYRP3/CCL24/CCL21/C1QA/CR2/DEFB1/CCL19/CFB/POU2AF1/MS4A1/SPINK5/POU2F2/S100A7/IGHG1/IFNE/IGHG3/XCL2/VSIG4/IL36RN/KRT1/CCL20/CCL3/CFH/SEMG1/BST1/C1QC/CFP/CCL5/KLK5/FCN1/CD55/IL17A/CCL11/WFDC3/PGLYRP4/C1QB/COLEC11/PF4/CFI/IL1B/HAMP/RARRES2/SEMG2/CCR7/REG1A/TREM2/CCL16/IGHM/IGHG4/CR1/CXCL13/C4BPB/LYZ/REG1B/WFDC13/H2BC7/KNG1/IL17F/C6/CAMP/CCL3L1/RNASE7/XCL1/AIRE/C9/LTF/ACOD1/BPI/H2BC11/COLEC10/IGHE/REG3G/FOXJ1/IFNK/CCL1/MUC7",139
"GO:0045109","intermediate filament organization","51/4952","68/16325",0.75,2.47248586429725,8.02881552236071,3.7229064017271e-14,4.57321822388157e-11,3.88514674386552e-11,"KRT80/KRT23/KRT6B/KRT17/MTM1/KRT75/PKP1/SHH/KRT6A/KRT20/PRPH/KRT16/BFSP1/NEFM/KRT7/AGFG2/DES/NEFH/KRT83/KRT15/KRT9/KRT6C/BBLN/KRT27/KRT5/INA/NEFL/KRT24/KRT1/KRT4/KRT37/KRT31/KRT32/KRT13/BFSP2/KRT35/KRT12/KRT34/KRT38/KRT40/KRT74/KRT78/KRT3/KRT36/TCHH/KRT25/KRT85/KRT84/KRT81/KRT39/KRT71",51
"GO:0019730","antimicrobial humoral response","94/4952","161/16325",0.583850931677019,1.92475090057095,7.78089171798009,1.24100487567601e-13,1.27037532440034e-10,1.07923880153087e-10,"MMP7/KLK7/ELANE/CXCL3/CXCL5/CCL23/CXCL12/CXCL1/LEAP2/LGALS4/PPBP/PGC/KRT6A/CXCL8/JCHAIN/FGB/VIP/SLC11A1/FGA/CXCL2/PRSS2/SPRR2A/CCL28/EVPL/REG3A/IGHA2/CTSG/NPY/LGALS3/F2/B2M/CCL15/CCL14/CCL8/CALCA/WFDC10A/CCL13/WFDC10B/CXCL6/CXCL11/IGHA1/IGKV3-20/NOD2/H2BC10/CCL26/SPON2/PGLYRP3/CCL24/CCL21/DEFB1/CCL19/SPINK5/S100A7/IGHG1/IGHG3/XCL2/IL36RN/CCL20/CCL3/SEMG1/CCL5/KLK5/IL17A/CCL11/WFDC3/PGLYRP4/COLEC11/PF4/HAMP/RARRES2/SEMG2/REG1A/CCL16/IGHM/IGHG4/CXCL13/LYZ/REG1B/WFDC13/H2BC7/KNG1/IL17F/CAMP/CCL3L1/RNASE7/XCL1/LTF/ACOD1/BPI/H2BC11/IGHE/REG3G/CCL1/MUC7",94
"GO:0007218","neuropeptide signaling pathway","61/4952","97/16325",0.628865979381443,2.07314965941076,6.99487166948038,3.2775223660935e-11,2.87579176750661e-08,2.44310952913165e-08,"NPFFR1/NXPH4/PYY/NMB/ECRG4/PTGDR2/SSTR2/UCN/SORCS1/TYRO3/NPSR1/SSTR5/NPY2R/NMU/PPY/NPY/CYSLTR1/CALCA/LTB4R/NPW/KISS1R/PROKR1/GALR1/SSTR3/GRPR/GPR143/HCRT/PNOC/NPY4R2/GRP/PENK/SSTR1/NMUR2/RXFP3/NPY1R/GPR84/NMUR1/LTB4R2/NPY4R/NXPH3/CYSLTR2/CARTPT/SORCS3/OPRD1/ECEL1/GPR171/MCHR2/NPY5R/GAL/TENM1/ADCYAP1/NPBWR1/OPRM1/NTSR1/AGRP/GLRA1/PROK2/PRLHR/NTSR2/NXPH2/GPR151",61
"GO:0045229","external encapsulating structure organization","156/4952","329/16325",0.474164133738602,1.56315215736726,6.80901192698399,3.89717230667863e-11,2.99205403845252e-08,2.54187935844816e-08,"COL10A1/COL11A1/MMP7/MMP11/TGFBI/KLK7/EGFL6/ADAMTS12/COMP/MMP3/TNXB/SOX9/MMP1/COL7A1/ELANE/IBSP/MMP13/C6orf15/HPSE2/MYH11/ITGA8/WT1/DPT/FAP/SERPINB5/FOXF2/ABI3BP/ADAMTSL3/MMP10/AXIN2/BMP2/RUNX1/LARGE1/COL1A1/CTSS/ITGA2/ADAMTS2/LAMA1/PRDX4/MMP28/ADTRP/GPM6B/ADAMTS1/KIF9/ADAMTS6/PRSS2/CAV1/ADAMTSL1/MATN3/MAD2L2/OLFML2A/MFAP4/MMP8/LOXL2/VIT/WDR72/COL9A3/FERMT1/FKBP10/PBXIP1/CTSG/PRSS1/AGT/FOXF1/SERPINH1/MATN2/PDPN/SMPD3/COL27A1/PLOD3/CMA1/COL12A1/ZNF469/RECK/MELTF/COL5A2/MIR145/LOXL4/ERO1A/FBLN5/P4HA3/COL4A6/ADAMTS8/GAS2/LTBP4/TLL1/ANGPTL7/COL5A1/CTSV/ADAMTSL5/SULF1/MMP20/TNFRSF11B/FBLN1/DDR2/MMP27/PTX3/ADAMTS14/COL1A2/COL19A1/COL8A1/NTN4/COL22A1/THSD4/ITGB3/CPB2/COL23A1/COL6A5/MMP14/TPSAB1/FGFR4/HPN/ADAMTSL2/SPINK5/MMP12/FSCN1/COL4A1/COL5A3/SERPINF2/TGFBR3/SCX/CCDC80/COL14A1/PDGFRA/KLK5/COL28A1/COL3A1/LOX/COL6A6/OLFML2B/DMP1/ADAM8/MMP9/FOXC1/POSTN/TGM1/COL17A1/ADAMTS18/NDNF/APLP1/SMOC1/COL4A5/COL9A1/MIA/COL9A2/WNT3A/FLRT2/FOXC2/ADAMTS20/MIR27B/TNR/COL11A2/HRNR/SFRP2/NR2E1/MIR483",156
"GO:0030198","extracellular matrix organization","154/4952","327/16325",0.470948012232416,1.55254973741805,6.6600654706452,9.82161402606639e-11,6.70270592756664e-08,5.69423868154516e-08,"COL10A1/COL11A1/MMP7/MMP11/TGFBI/KLK7/EGFL6/ADAMTS12/COMP/MMP3/TNXB/SOX9/MMP1/COL7A1/ELANE/IBSP/MMP13/C6orf15/HPSE2/MYH11/ITGA8/WT1/DPT/FAP/SERPINB5/FOXF2/ABI3BP/ADAMTSL3/MMP10/AXIN2/BMP2/RUNX1/LARGE1/COL1A1/CTSS/ITGA2/ADAMTS2/LAMA1/PRDX4/MMP28/ADTRP/GPM6B/ADAMTS1/KIF9/ADAMTS6/PRSS2/CAV1/ADAMTSL1/MATN3/MAD2L2/OLFML2A/MFAP4/MMP8/LOXL2/VIT/WDR72/COL9A3/FERMT1/FKBP10/PBXIP1/CTSG/PRSS1/AGT/FOXF1/SERPINH1/MATN2/PDPN/SMPD3/COL27A1/PLOD3/CMA1/COL12A1/ZNF469/RECK/MELTF/COL5A2/MIR145/LOXL4/ERO1A/FBLN5/P4HA3/COL4A6/ADAMTS8/GAS2/LTBP4/TLL1/ANGPTL7/COL5A1/CTSV/ADAMTSL5/SULF1/MMP20/TNFRSF11B/FBLN1/DDR2/MMP27/PTX3/ADAMTS14/COL1A2/COL19A1/COL8A1/NTN4/COL22A1/THSD4/ITGB3/CPB2/COL23A1/COL6A5/MMP14/TPSAB1/FGFR4/HPN/ADAMTSL2/SPINK5/MMP12/FSCN1/COL4A1/COL5A3/SERPINF2/TGFBR3/SCX/CCDC80/COL14A1/PDGFRA/KLK5/COL28A1/COL3A1/LOX/COL6A6/OLFML2B/DMP1/ADAM8/MMP9/FOXC1/POSTN/COL17A1/ADAMTS18/NDNF/APLP1/SMOC1/COL4A5/COL9A1/MIA/COL9A2/WNT3A/FLRT2/FOXC2/ADAMTS20/MIR27B/TNR/COL11A2/SFRP2/NR2E1/MIR483",154
"GO:0031424","keratinization","40/4952","55/16325",0.727272727272727,2.39756205022764,6.85053924999321,1.09244617091515e-10,6.70980438176085e-08,5.70026912550147e-08,"CDH3/KRT80/KRT6B/KRT17/KRT75/KRT6A/KRT16/SPRR2D/KRT7/IL1A/SPRR1B/SPRR1A/EVPL/ABCA12/KRT83/KRT6C/SPRR3/KRT5/KRT1/KRT4/KLK5/CYP26B1/SPRR2E/IVL/TGM1/LCE1E/KRT74/KRT78/CDSN/KRT3/TCHH/LIPN/LIPK/KRT85/HRNR/KRT84/KRT81/KRT71/CASP14/SPRR2F",40
"GO:0043062","extracellular structure organization","154/4952","328/16325",0.469512195121951,1.54781635407226,6.61330776643404,1.30292320742433e-10,7.27504940000021e-08,6.18046922411713e-08,"COL10A1/COL11A1/MMP7/MMP11/TGFBI/KLK7/EGFL6/ADAMTS12/COMP/MMP3/TNXB/SOX9/MMP1/COL7A1/ELANE/IBSP/MMP13/C6orf15/HPSE2/MYH11/ITGA8/WT1/DPT/FAP/SERPINB5/FOXF2/ABI3BP/ADAMTSL3/MMP10/AXIN2/BMP2/RUNX1/LARGE1/COL1A1/CTSS/ITGA2/ADAMTS2/LAMA1/PRDX4/MMP28/ADTRP/GPM6B/ADAMTS1/KIF9/ADAMTS6/PRSS2/CAV1/ADAMTSL1/MATN3/MAD2L2/OLFML2A/MFAP4/MMP8/LOXL2/VIT/WDR72/COL9A3/FERMT1/FKBP10/PBXIP1/CTSG/PRSS1/AGT/FOXF1/SERPINH1/MATN2/PDPN/SMPD3/COL27A1/PLOD3/CMA1/COL12A1/ZNF469/RECK/MELTF/COL5A2/MIR145/LOXL4/ERO1A/FBLN5/P4HA3/COL4A6/ADAMTS8/GAS2/LTBP4/TLL1/ANGPTL7/COL5A1/CTSV/ADAMTSL5/SULF1/MMP20/TNFRSF11B/FBLN1/DDR2/MMP27/PTX3/ADAMTS14/COL1A2/COL19A1/COL8A1/NTN4/COL22A1/THSD4/ITGB3/CPB2/COL23A1/COL6A5/MMP14/TPSAB1/FGFR4/HPN/ADAMTSL2/SPINK5/MMP12/FSCN1/COL4A1/COL5A3/SERPINF2/TGFBR3/SCX/CCDC80/COL14A1/PDGFRA/KLK5/COL28A1/COL3A1/LOX/COL6A6/OLFML2B/DMP1/ADAM8/MMP9/FOXC1/POSTN/COL17A1/ADAMTS18/NDNF/APLP1/SMOC1/COL4A5/COL9A1/MIA/COL9A2/WNT3A/FLRT2/FOXC2/ADAMTS20/MIR27B/TNR/COL11A2/SFRP2/NR2E1/MIR483",154
"GO:0006937","regulation of muscle contraction","88/4952","163/16325",0.539877300613497,1.77978532562911,6.60218060808062,2.3782103314382e-10,1.21724732130779e-07,1.03410426429291e-07,"MYL9/OXTR/CNN1/TNNI3/ATP1A2/PPP1R12B/TACR2/EDN3/P2RX1/ANK2/SRI/P2RX4/TPM1/SLC9A1/DSC2/EDN2/MYOCD/PLN/TNNT1/CHGA/UCN/ITGA2/CASQ2/STC1/CAV1/CTNNA3/CACNB1/CASQ1/NMU/ADRB2/PDE5A/DMD/ATP2B1/GPER1/SMAD7/RGS2/MIR145/CALCA/PIK3CG/SPHK1/NOS1/DMPK/ARHGAP42/ADRA1A/KIT/TRPM4/SLC8A1/TRPV4/CLIC2/AKAP9/ADRA2A/HRC/SLC8A3/GSTM2/CHRNA3/GATA4/TNNT2/ADA/CHRNB4/PDE4D/MYBPC3/KCNA1/ATP2A1/NMUR2/ADRA1B/CHRM2/SCN4A/SPX/TNNT3/MYH7B/CACNB2/ADRA2C/TACR1/PRKG1/CACNA1C/FKBP1B/STRIT1/FGF13/GUCY1A1/MYBPH/KCNB2/TNNC2/PTGS2/OXT/CACNG1/MYL2/PROK2/NKX2-5",88
"GO:0006939","smooth muscle contraction","62/4952","104/16325",0.596153846153846,1.9653092767491,6.51644041965192,5.51653525639822e-10,2.60635073421522e-07,2.2142077138434e-07,"HTR1D/COMP/MYLK/OXTR/CNN1/MYH11/TNNI3/ATP1A2/SCNN1B/TACR2/EDN3/ATP2B4/P2RX1/SCN11A/SSTR2/SMTN/EDN2/MYOCD/ITGA2/KCNMA1/CAV1/P2RX2/NMU/ADRB2/BDKRB2/ATP2B1/GPER1/EDNRA/EDNRB/APBB1/GDNF/RGS2/MIR145/CALCA/HTR7/SPHK1/ARHGAP42/ADRA1A/KIT/DRD2/SLC8A1/SULF1/ADRA2A/CHRNA3/TIFAB/ACTA2/ADA/CHRNB4/NMUR2/CHRM2/SPX/NMUR1/ADRA2C/TACR1/PRKG1/FKBP1B/GUCY1A1/CD38/KCNB2/PTGS2/OXT/PROK2",62
"GO:0061844","antimicrobial humoral immune response mediated by antimicrobial peptide","68/4952","118/16325",0.576271186440678,1.89976314996851,6.47267768951643,6.48147382341367e-10,2.84351515881477e-07,2.41568915358358e-07,"MMP7/KLK7/ELANE/CXCL3/CXCL5/CCL23/CXCL12/CXCL1/LEAP2/LGALS4/PPBP/PGC/KRT6A/CXCL8/VIP/CXCL2/CCL28/EVPL/REG3A/NPY/LGALS3/F2/B2M/CCL15/CCL14/CCL8/CALCA/CCL13/CXCL6/CXCL11/NOD2/H2BC10/CCL26/PGLYRP3/CCL24/CCL21/DEFB1/CCL19/SPINK5/S100A7/XCL2/CCL20/CCL3/SEMG1/CCL5/KLK5/IL17A/CCL11/PGLYRP4/PF4/HAMP/REG1A/CCL16/CXCL13/REG1B/H2BC7/KNG1/IL17F/CAMP/CCL3L1/RNASE7/XCL1/LTF/BPI/H2BC11/REG3G/CCL1/MUC7",68
"GO:0045103","intermediate filament-based process","55/4952","89/16325",0.617977528089888,2.03725427020747,6.47450849318841,7.8421667047015e-10,3.21110586001844e-07,2.72797335826002e-07,"KRT80/KRT23/KRT6B/KRT17/MTM1/KRT75/SYNM/PKP1/SHH/KRT6A/KRT20/PRPH/KRT16/BFSP1/NEFM/KRT7/AGFG2/EVPL/DES/NEFH/KRT83/KRT15/ATP8A2/SYNC/KRT9/KRT6C/BBLN/KRT27/KRT5/INA/NEFL/KRT24/KRT1/KRT4/KRT37/KRT31/KRT32/KRT13/BFSP2/KRT35/KRT12/KRT34/KRT38/KRT40/KRT74/KRT78/KRT3/KRT36/TCHH/KRT25/KRT85/KRT84/KRT81/KRT39/KRT71",55
"GO:0008016","regulation of heart contraction","102/4952","201/16325",0.507462686567164,1.6729257589275,6.33424530850842,9.70176812418814e-10,3.72426623867272e-07,3.16392530207899e-07,"APLN/GPD1L/POPDC2/CORIN/TNNI3/ATP1A2/GNAO1/KCNA5/EDN3/ATP2B4/ANK2/SRI/POPDC1/P2RX4/TPM1/EPAS1/SLC9A1/ADORA3/APELA/DSC2/EDN2/SCN4B/SCN2B/PLN/ATP1B2/CHGA/UCN/NUP155/CASQ2/STC1/CAV1/FLNA/THRB/CTNNA3/SLC1A1/TH/PDE5A/IRX3/DES/DMD/CACNA1H/AGT/ATP2B1/EDNRA/SMAD7/ATP2B3/EDNRB/HSPB7/SLC8A2/RGS2/ATP2A3/PIK3CG/NOS1/DMPK/ADRA1A/DRD2/TRPM4/SLC8A1/CACNA2D1/CACNA1D/TMIGD3/CLIC2/AKAP9/HRC/SLC8A3/GSTM2/SCN3B/GATA4/SCN1B/TNNT2/ADA/PDE4D/ATP2A1/ADRA1B/CHRM2/SHOX2/GJC1/S100A1/SPX/KCNIP1/MYH7B/CACNB2/ATP2B2/FXYD1/TBX5/CACNA1C/FKBP1B/FGF13/KCND3/TBX18/SPTBN4/MYH6/ADRB1/KCNE5/OXT/MC3R/MYL2/CHRFAM7A/AGTR2/CSRP3/TRDN/NKX2-5",102
"GO:1903522","regulation of blood circulation","122/4952","252/16325",0.484126984126984,1.59599616637177,6.29160365063924,1.05518209343316e-09,3.81231083403911e-07,3.2387229951382e-07,"APLN/GPD1L/POPDC2/OXTR/CORIN/TNNI3/ATP1A2/GNAO1/KCNA5/EDN3/ATP2B4/P2RX1/ANK2/SRI/POPDC1/P2RX4/TPM1/EPAS1/SLC9A1/ADORA3/APELA/DSC2/EDN2/SCN4B/SCN2B/PLN/ATP1B2/CHGA/UCN/NUP155/FGB/ECE1/CASQ2/FGA/AVPR1B/STC1/CAV1/FLNA/THRB/CTNNA3/SLC1A1/AGTR1/TH/PDE5A/IRX3/BDKRB2/DES/DMD/CACNA1H/AGT/ATP2B1/EDNRA/SMAD7/ATP2B3/EDNRB/CYSLTR1/HSPB7/SLC8A2/CASR/RGS2/ATP2A3/PIK3CG/NOS1/DMPK/ARHGAP42/ADRA1A/SVEP1/DRD2/TRPM4/SLC8A1/CACNA2D1/FGG/CACNA1D/TMIGD3/CLIC2/AKAP9/ADRA2A/HRC/SLC8A3/GSTM2/SCN3B/GATA4/SCN1B/TNNT2/ADA/PDE4D/ATP2A1/ADRA1B/CHRM2/SHOX2/GJC1/S100A1/SPX/KCNIP1/MYH7B/CACNB2/ADRA2C/ATP2B2/TACR1/FXYD1/TBX5/CACNA1C/FKBP1B/FGF13/KCND3/TBX18/CD38/SPTBN4/MYH6/ADRB1/LEP/KCNE5/PTGS2/SMTNL1/OXT/MC3R/MYL2/CHRFAM7A/AGTR2/CSRP3/TRDN/NKX2-5",122
"GO:0019724","B cell mediated immunity","97/4952","189/16325",0.513227513227513,1.69193036216461,6.31337286021076,1.14325155620661e-09,3.90102836567832e-07,3.31409237667611e-07,"EXO1/HSPD1/EXOSC3/C7/MAD2L2/CLU/ZP3/C2/IGHA2/CD46/FCER1A/IGHV3-72/ATAD5/IGHV3-7/IGHV3-74/FCMR/CD27/IGHA1/BTK/NOD2/CD19/IGLL5/IGHV3-21/FOXP3/FCER2/IGHV3-11/IGHV4-59/C1QA/IGHV3-48/CR2/IGHV3-49/IGHV3-23/IGHV3-15/IGHV3-16/SHLD1/IGHG1/IGHV5-51/IGHG3/IGHV3-66/IGKC/IGHV2-5/TNFSF4/IGHV1-58/IGLC3/IGHV3-13/C1QC/IGHV3-73/CD40LG/IGHV6-1/CD55/SLA2/IGHV1-18/C17orf99/IGHV4-39/C1QB/CSF2RB/IGHV3-53/AICDA/CFI/IGLC6/IGLL1/IGHV3-35/IGHV4-28/FCRLB/TREM2/CD70/IGLC2/IGHV3-30/IGHV4-4/IGHV4-34/IGHG4/CR1/IGHV7-4-1/IGHV3-43/IGLC7/IGHV3-64D/C4BPB/IL13RA2/IGHV2-26/IGHV1-3/BATF/IGHV3-33/IGHV3-38/C6/IL10/IGHV3-64/IGHV3-20/XCL1/IGHV2-70D/C9/IGHV1-69D/IGHV2-70/IGHE/FOXJ1/IGHV4-61/IGHV1-24/IGHV8-51-1",97
"GO:0045104","intermediate filament cytoskeleton organization","54/4952","88/16325",0.613636363636364,2.02294297987957,6.34900923070988,1.61662315419477e-09,5.07009408079678e-07,4.3072642819088e-07,"KRT80/KRT23/KRT6B/KRT17/MTM1/KRT75/SYNM/PKP1/SHH/KRT6A/KRT20/PRPH/KRT16/BFSP1/NEFM/KRT7/AGFG2/EVPL/DES/NEFH/KRT83/KRT15/ATP8A2/KRT9/KRT6C/BBLN/KRT27/KRT5/INA/NEFL/KRT24/KRT1/KRT4/KRT37/KRT31/KRT32/KRT13/BFSP2/KRT35/KRT12/KRT34/KRT38/KRT40/KRT74/KRT78/KRT3/KRT36/TCHH/KRT25/KRT85/KRT84/KRT81/KRT39/KRT71",54
